complaint_text,category,priority,department
Urgent attention is required due to hospital overcrowding.,Healthcare,High,Healthcare Department
The situation is worsening because of favoritism complaint.,Corruption,Medium,Corruption Department
Multiple complaints have been raised about public grievance unresolved.,Government Services,Medium,Government Services Department
People are suffering because of public grievance unresolved.,Government Services,Medium,Government Services Department
The locality has been affected by office inefficiency for several days.,Government Services,Medium,Government Services Department
The situation is worsening because of water shortage in toilet.,Public Toilets,Medium,Public Toilets Department
Citizens have repeatedly reported public land encroachment.,Encroachment,Medium,Encroachment Department
The locality has been affected by monkey nuisance for several days.,Animal Issues,Medium,Animal Issues Department
Urgent attention is required due to industrial noise.,Noise Pollution,Medium,Noise Pollution Department
Multiple complaints have been raised about rainwater accumulation.,Flooding,High,Flooding Department
Citizens have repeatedly reported theft incident.,Crime,High,Crime Department
Authorities have not resolved the abandoned building risk yet.,Public Safety,Medium,Public Safety Department
There is a serious problem involving telecom service issue.,Telecom,Medium,Telecom Department
Multiple complaints have been raised about harassment of women.,Women & Child Safety,High,Women & Child Safety Department
Residents are facing industrial smoke in the area.,Pollution,Medium,Pollution Department
Please take immediate action regarding poor sanitation in hospital.,Healthcare,High,Healthcare Department
Authorities have not resolved the damaged benches yet.,Parks,Low,Parks Department
The locality has been affected by eve teasing incident for several days.,Women & Child Safety,High,Women & Child Safety Department
The locality has been affected by electric line fault for several days.,Electricity,High,Electricity Department
The locality has been affected by broken playground equipment for several days.,Parks,Low,Parks Department
The situation is worsening because of lack of doctors.,Healthcare,High,Healthcare Department
The situation is worsening because of sewage smell.,Sewage,High,Sewage Department
Citizens have repeatedly reported document processing delay.,Government Services,Medium,Government Services Department
Please take immediate action regarding overgrown vegetation.,Parks,Low,Parks Department
The situation is worsening because of flood risk.,Flooding,High,Flooding Department
Urgent attention is required due to overflowing dustbins.,Waste,Medium,Waste Department
The locality has been affected by flood risk for several days.,Flooding,High,Flooding Department
Residents are facing toilet maintenance issue in the area.,Public Toilets,Medium,Public Toilets Department
Citizens have repeatedly reported river pollution.,Environment,Medium,Environment Department
Please take immediate action regarding large potholes.,Infrastructure,Medium,Infrastructure Department
Multiple complaints have been raised about building crack.,Housing,Medium,Housing Department
Authorities have not resolved the stray dog attack yet.,Animal Issues,Medium,Animal Issues Department
Please take immediate action regarding farm water problem.,Agriculture,Medium,Agriculture Department
There is a serious problem involving pest infestation.,Agriculture,Medium,Agriculture Department
People are suffering because of poor public transport.,Transport,Medium,Transport Department
Residents are facing water shortage in the area.,Water,High,Water Department
Residents are facing network outage in the area.,Telecom,Medium,Telecom Department
Please take immediate action regarding sewage overflow.,Sewage,High,Sewage Department
Multiple complaints have been raised about urban flooding.,Flooding,High,Flooding Department
Citizens have repeatedly reported garbage accumulation.,Waste,Medium,Waste Department
There is a serious problem involving fire safety violation.,Fire Hazard,High,Fire Hazard Department
People are suffering because of blocked driveway.,Parking,Low,Parking Department
Residents are facing electric line fault in the area.,Electricity,High,Electricity Department
People are suffering because of irrigation issue.,Agriculture,Medium,Agriculture Department
Please take immediate action regarding flooded street.,Flooding,High,Flooding Department
Urgent attention is required due to blocked driveway.,Parking,Low,Parking Department
Urgent attention is required due to internet disruption.,Telecom,Medium,Telecom Department
The situation is worsening because of traffic congestion.,Transport,Medium,Transport Department
Multiple complaints have been raised about toilet maintenance issue.,Public Toilets,Medium,Public Toilets Department
The situation is worsening because of public land encroachment.,Encroachment,Medium,Encroachment Department
There is a serious problem involving flammable waste.,Fire Hazard,High,Fire Hazard Department
The locality has been affected by housing maintenance issue for several days.,Housing,Medium,Housing Department
The situation is worsening because of poor public transport.,Transport,Medium,Transport Department
People are suffering because of loudspeaker disturbance.,Noise Pollution,Medium,Noise Pollution Department
Residents are facing public harassment in the area.,Public Safety,Medium,Public Safety Department
There is a serious problem involving unsafe apartment.,Housing,Medium,Housing Department
Multiple complaints have been raised about water shortage.,Water,High,Water Department
Urgent attention is required due to power outage.,Electricity,High,Electricity Department
Authorities have not resolved the certificate issue yet.,Government Services,Medium,Government Services Department
Please take immediate action regarding damaged streetlight pole.,Streetlight,Medium,Streetlight Department
Urgent attention is required due to faulty street lighting.,Streetlight,Medium,Streetlight Department
Authorities have not resolved the building crack yet.,Housing,Medium,Housing Department
Please take immediate action regarding unsafe pedestrian crossing.,Public Safety,Medium,Public Safety Department
The locality has been affected by ambulance delay for several days.,Healthcare,High,Healthcare Department
The situation is worsening because of parking shortage.,Parking,Low,Parking Department
People are suffering because of medicine shortage.,Healthcare,High,Healthcare Department
People are suffering because of road encroachment.,Encroachment,Medium,Encroachment Department
Multiple complaints have been raised about drain overflow.,Drainage,Medium,Drainage Department
The situation is worsening because of unsafe area.,Public Safety,Medium,Public Safety Department
There is a serious problem involving bribery complaint.,Corruption,Medium,Corruption Department
Citizens have repeatedly reported load shedding.,Electricity,High,Electricity Department
Multiple complaints have been raised about ambulance delay.,Healthcare,High,Healthcare Department
The situation is worsening because of sewage smell.,Sewage,High,Sewage Department
People are suffering because of animal shelter issue.,Animal Issues,Medium,Animal Issues Department
Multiple complaints have been raised about illegal parking.,Parking,Low,Parking Department
The locality has been affected by telecom service issue for several days.,Telecom,Medium,Telecom Department
Residents are facing damaged road in the area.,Infrastructure,Medium,Infrastructure Department
Please take immediate action regarding school infrastructure issue.,Education,Medium,Education Department
Urgent attention is required due to open sewage.,Sewage,High,Sewage Department
Please take immediate action regarding water shortage in toilet.,Public Toilets,Medium,Public Toilets Department
The situation is worsening because of public grievance unresolved.,Government Services,Medium,Government Services Department
Urgent attention is required due to crop damage.,Agriculture,Medium,Agriculture Department
The locality has been affected by encroaching structure for several days.,Illegal Construction,Medium,Illegal Construction Department
There is a serious problem involving damaged benches.,Parks,Low,Parks Department
The situation is worsening because of certificate issue.,Government Services,Medium,Government Services Department
Citizens have repeatedly reported assault report.,Crime,High,Crime Department
Authorities have not resolved the housing maintenance issue yet.,Housing,Medium,Housing Department
The locality has been affected by teacher shortage for several days.,Education,Medium,Education Department
The locality has been affected by road encroachment for several days.,Encroachment,Medium,Encroachment Department
Multiple complaints have been raised about illegal payment demand.,Corruption,Medium,Corruption Department
The locality has been affected by illegal occupation for several days.,Encroachment,Medium,Encroachment Department
Urgent attention is required due to poor housing conditions.,Housing,Medium,Housing Department
The locality has been affected by illegal sand mining for several days.,Environment,Medium,Environment Department
Authorities have not resolved the low water pressure yet.,Water,High,Water Department
People are suffering because of poor mobile signal.,Telecom,Medium,Telecom Department
Authorities have not resolved the farm water problem yet.,Agriculture,Medium,Agriculture Department
Urgent attention is required due to theft incident.,Crime,High,Crime Department
Please take immediate action regarding internet disruption.,Telecom,Medium,Telecom Department
Authorities have not resolved the stray dog attack yet.,Animal Issues,Medium,Animal Issues Department
The locality has been affected by poor drainage system for several days.,Drainage,Medium,Drainage Department
Urgent attention is required due to damaged streetlight pole.,Streetlight,Medium,Streetlight Department
The locality has been affected by sewage overflow for several days.,Sewage,High,Sewage Department
People are suffering because of lack of police patrol.,Public Safety,Medium,Public Safety Department
The locality has been affected by flood risk for several days.,Flooding,High,Flooding Department
Residents are facing drain overflow in the area.,Drainage,Medium,Drainage Department
There is a serious problem involving road encroachment.,Encroachment,Medium,Encroachment Department
Authorities have not resolved the abandoned building risk yet.,Public Safety,Medium,Public Safety Department
Urgent attention is required due to parking shortage.,Parking,Low,Parking Department
The situation is worsening because of poor housing conditions.,Housing,Medium,Housing Department
Citizens have repeatedly reported housing maintenance issue.,Housing,Medium,Housing Department
People are suffering because of crop damage.,Agriculture,Medium,Agriculture Department
The situation is worsening because of poor sanitation in hospital.,Healthcare,High,Healthcare Department
Urgent attention is required due to building crack.,Housing,Medium,Housing Department
There is a serious problem involving urban flooding.,Flooding,High,Flooding Department
People are suffering because of loudspeaker disturbance.,Noise Pollution,Medium,Noise Pollution Department
Residents are facing voltage fluctuation in the area.,Electricity,High,Electricity Department
Citizens have repeatedly reported wastewater leakage.,Sewage,High,Sewage Department
Citizens have repeatedly reported robbery case.,Crime,High,Crime Department
Citizens have repeatedly reported internet disruption.,Telecom,Medium,Telecom Department
Urgent attention is required due to water shortage in toilet.,Public Toilets,Medium,Public Toilets Department
Please take immediate action regarding website not working.,Digital Services,Low,Digital Services Department
The locality has been affected by lack of police patrol for several days.,Public Safety,Medium,Public Safety Department
Please take immediate action regarding illegal parking.,Parking,Low,Parking Department
There is a serious problem involving dust pollution.,Pollution,Medium,Pollution Department
Please take immediate action regarding unsafe apartment.,Housing,Medium,Housing Department
Multiple complaints have been raised about park maintenance issue.,Parks,Low,Parks Department
Multiple complaints have been raised about robbery case.,Crime,High,Crime Department
There is a serious problem involving uncleared waste.,Waste,Medium,Waste Department
Authorities have not resolved the robbery case yet.,Crime,High,Crime Department
Citizens have repeatedly reported encroaching structure.,Illegal Construction,Medium,Illegal Construction Department
Residents are facing load shedding in the area.,Electricity,High,Electricity Department
Please take immediate action regarding crop damage.,Agriculture,Medium,Agriculture Department
The situation is worsening because of eve teasing incident.,Women & Child Safety,High,Women & Child Safety Department
Authorities have not resolved the flammable waste yet.,Fire Hazard,High,Fire Hazard Department
The situation is worsening because of chemical discharge.,Pollution,Medium,Pollution Department
The situation is worsening because of open sewage.,Sewage,High,Sewage Department
Residents are facing farm water problem in the area.,Agriculture,Medium,Agriculture Department
Citizens have repeatedly reported low water pressure.,Water,High,Water Department
Residents are facing unclean public toilet in the area.,Public Toilets,Medium,Public Toilets Department
People are suffering because of government portal outage.,Digital Services,Low,Digital Services Department
Please take immediate action regarding broadband failure.,Telecom,Medium,Telecom Department
Multiple complaints have been raised about broken playground equipment.,Parks,Low,Parks Department
Citizens have repeatedly reported housing maintenance issue.,Housing,Medium,Housing Department
People are suffering because of illegal payment demand.,Corruption,Medium,Corruption Department
Urgent attention is required due to electrical fire risk.,Fire Hazard,High,Fire Hazard Department
Multiple complaints have been raised about pest infestation.,Agriculture,Medium,Agriculture Department
Residents are facing chemical discharge in the area.,Pollution,Medium,Pollution Department
Citizens have repeatedly reported public grievance unresolved.,Government Services,Medium,Government Services Department
Multiple complaints have been raised about abandoned building risk.,Public Safety,Medium,Public Safety Department
The locality has been affected by parking shortage for several days.,Parking,Low,Parking Department
Please take immediate action regarding document processing delay.,Government Services,Medium,Government Services Department
Please take immediate action regarding clogged storm drain.,Drainage,Medium,Drainage Department
The situation is worsening because of illegal parking.,Parking,Low,Parking Department
Urgent attention is required due to unsafe construction.,Illegal Construction,Medium,Illegal Construction Department
Urgent attention is required due to dust pollution.,Pollution,Medium,Pollution Department
Authorities have not resolved the hospital overcrowding yet.,Healthcare,High,Healthcare Department
People are suffering because of unsafe apartment.,Housing,Medium,Housing Department
Multiple complaints have been raised about unclean public toilet.,Public Toilets,Medium,Public Toilets Department
Citizens have repeatedly reported collapsed pavement.,Infrastructure,Medium,Infrastructure Department
Citizens have repeatedly reported bus delay.,Transport,Medium,Transport Department
The situation is worsening because of nighttime noise.,Noise Pollution,Medium,Noise Pollution Department
Citizens have repeatedly reported damaged road.,Infrastructure,Medium,Infrastructure Department
People are suffering because of injured animal.,Animal Issues,Medium,Animal Issues Department
Please take immediate action regarding flooded street.,Flooding,High,Flooding Department
Residents are facing overflowing dustbins in the area.,Waste,Medium,Waste Department
The locality has been affected by corrupt practice for several days.,Corruption,Medium,Corruption Department
Authorities have not resolved the poor housing conditions yet.,Housing,Medium,Housing Department
People are suffering because of crop damage.,Agriculture,Medium,Agriculture Department
People are suffering because of unauthorized construction.,Illegal Construction,Medium,Illegal Construction Department
Authorities have not resolved the ambulance delay yet.,Healthcare,High,Healthcare Department
Residents are facing river pollution in the area.,Environment,Medium,Environment Department
Please take immediate action regarding housing maintenance issue.,Housing,Medium,Housing Department
Authorities have not resolved the irrigation issue yet.,Agriculture,Medium,Agriculture Department
Residents are facing network outage in the area.,Telecom,Medium,Telecom Department
The situation is worsening because of theft incident.,Crime,High,Crime Department
People are suffering because of certificate issue.,Government Services,Medium,Government Services Department
Multiple complaints have been raised about public harassment.,Public Safety,Medium,Public Safety Department
Authorities have not resolved the garbage accumulation yet.,Waste,Medium,Waste Department
Please take immediate action regarding collapsed pavement.,Infrastructure,Medium,Infrastructure Department
Please take immediate action regarding urban flooding.,Flooding,High,Flooding Department
Urgent attention is required due to bus delay.,Transport,Medium,Transport Department
People are suffering because of service request pending.,Government Services,Medium,Government Services Department
The situation is worsening because of load shedding.,Electricity,High,Electricity Department
Authorities have not resolved the broken playground equipment yet.,Parks,Low,Parks Department
There is a serious problem involving government portal outage.,Digital Services,Low,Digital Services Department
Authorities have not resolved the construction without permit yet.,Illegal Construction,Medium,Illegal Construction Department
The locality has been affected by telecom service issue for several days.,Telecom,Medium,Telecom Department
The situation is worsening because of construction noise.,Noise Pollution,Medium,Noise Pollution Department
Urgent attention is required due to lack of sanitation.,Public Toilets,Medium,Public Toilets Department
Please take immediate action regarding crop damage.,Agriculture,Medium,Agriculture Department
The situation is worsening because of medicine shortage.,Healthcare,High,Healthcare Department
There is a serious problem involving dry public taps.,Water,High,Water Department
People are suffering because of poor mobile signal.,Telecom,Medium,Telecom Department
There is a serious problem involving drain overflow.,Drainage,Medium,Drainage Department
The situation is worsening because of sewage smell.,Sewage,High,Sewage Department
Residents are facing collapsed pavement in the area.,Infrastructure,Medium,Infrastructure Department
People are suffering because of robbery case.,Crime,High,Crime Department
Residents are facing loudspeaker disturbance in the area.,Noise Pollution,Medium,Noise Pollution Department
There is a serious problem involving water pollution.,Pollution,Medium,Pollution Department
Multiple complaints have been raised about bribery complaint.,Corruption,Medium,Corruption Department
The situation is worsening because of unclean public toilet.,Public Toilets,Medium,Public Toilets Department
Multiple complaints have been raised about faulty street lighting.,Streetlight,Medium,Streetlight Department
Urgent attention is required due to bribery complaint.,Corruption,Medium,Corruption Department
The locality has been affected by clogged storm drain for several days.,Drainage,Medium,Drainage Department
There is a serious problem involving harassment of women.,Women & Child Safety,High,Women & Child Safety Department
The locality has been affected by broken school furniture for several days.,Education,Medium,Education Department
Multiple complaints have been raised about unsafe pedestrian crossing.,Public Safety,Medium,Public Safety Department
Multiple complaints have been raised about industrial noise.,Noise Pollution,Medium,Noise Pollution Department
Urgent attention is required due to digital payment issue.,Digital Services,Low,Digital Services Department
Multiple complaints have been raised about water shortage in toilet.,Public Toilets,Medium,Public Toilets Department
There is a serious problem involving telecom service issue.,Telecom,Medium,Telecom Department
Urgent attention is required due to waste collection delay.,Waste,Medium,Waste Department
People are suffering because of unsafe bridge.,Infrastructure,Medium,Infrastructure Department
Multiple complaints have been raised about digital payment issue.,Digital Services,Low,Digital Services Department
People are suffering because of hospital overcrowding.,Healthcare,High,Healthcare Department
Urgent attention is required due to government portal outage.,Digital Services,Low,Digital Services Department
Urgent attention is required due to dry public taps.,Water,High,Water Department
Citizens have repeatedly reported server downtime.,Digital Services,Low,Digital Services Department
Please take immediate action regarding bus delay.,Transport,Medium,Transport Department
Urgent attention is required due to bus delay.,Transport,Medium,Transport Department
Authorities have not resolved the poor mobile signal yet.,Telecom,Medium,Telecom Department
The situation is worsening because of unsafe pedestrian crossing.,Public Safety,Medium,Public Safety Department
Multiple complaints have been raised about load shedding.,Electricity,High,Electricity Department
The situation is worsening because of bribery complaint.,Corruption,Medium,Corruption Department
Authorities have not resolved the blocked fire exit yet.,Fire Hazard,High,Fire Hazard Department
There is a serious problem involving unauthorized construction.,Illegal Construction,Medium,Illegal Construction Department
Residents are facing broadband failure in the area.,Telecom,Medium,Telecom Department
The locality has been affected by construction without permit for several days.,Illegal Construction,Medium,Illegal Construction Department
Urgent attention is required due to irrigation issue.,Agriculture,Medium,Agriculture Department
The situation is worsening because of broken playground equipment.,Parks,Low,Parks Department
People are suffering because of construction noise.,Noise Pollution,Medium,Noise Pollution Department
People are suffering because of public land encroachment.,Encroachment,Medium,Encroachment Department
The situation is worsening because of illegal building extension.,Illegal Construction,Medium,Illegal Construction Department
Residents are facing unsafe bridge in the area.,Infrastructure,Medium,Infrastructure Department
Residents are facing lack of sanitation in the area.,Public Toilets,Medium,Public Toilets Department
Authorities have not resolved the service request pending yet.,Government Services,Medium,Government Services Department
The locality has been affected by document processing delay for several days.,Government Services,Medium,Government Services Department
Multiple complaints have been raised about public grievance unresolved.,Government Services,Medium,Government Services Department
Residents are facing illegal sand mining in the area.,Environment,Medium,Environment Department
Authorities have not resolved the broken playground equipment yet.,Parks,Low,Parks Department
The situation is worsening because of website not working.,Digital Services,Low,Digital Services Department
Authorities have not resolved the footpath encroachment yet.,Encroachment,Medium,Encroachment Department
Please take immediate action regarding illegal occupation.,Encroachment,Medium,Encroachment Department
Authorities have not resolved the blocked driveway yet.,Parking,Low,Parking Department
People are suffering because of digital payment issue.,Digital Services,Low,Digital Services Department
Citizens have repeatedly reported tree cutting.,Environment,Medium,Environment Department
There is a serious problem involving dry public taps.,Water,High,Water Department
Please take immediate action regarding double parking.,Parking,Low,Parking Department
Citizens have repeatedly reported footpath encroachment.,Encroachment,Medium,Encroachment Department
People are suffering because of blocked driveway.,Parking,Low,Parking Department
Please take immediate action regarding website not working.,Digital Services,Low,Digital Services Department
Urgent attention is required due to teacher shortage.,Education,Medium,Education Department
The locality has been affected by unsafe pedestrian crossing for several days.,Public Safety,Medium,Public Safety Department
Urgent attention is required due to poor sanitation in hospital.,Healthcare,High,Healthcare Department
Urgent attention is required due to sewage smell.,Sewage,High,Sewage Department
Residents are facing unauthorized construction in the area.,Illegal Construction,Medium,Illegal Construction Department
There is a serious problem involving toilet maintenance issue.,Public Toilets,Medium,Public Toilets Department
Residents are facing poor mobile signal in the area.,Telecom,Medium,Telecom Department
Authorities have not resolved the dry public taps yet.,Water,High,Water Department
Authorities have not resolved the industrial noise yet.,Noise Pollution,Medium,Noise Pollution Department
Please take immediate action regarding garbage accumulation.,Waste,Medium,Waste Department
The situation is worsening because of broken toilet facility.,Public Toilets,Medium,Public Toilets Department
Please take immediate action regarding theft incident.,Crime,High,Crime Department
Multiple complaints have been raised about footpath encroachment.,Encroachment,Medium,Encroachment Department
Residents are facing waterlogging in the area.,Flooding,High,Flooding Department
The situation is worsening because of illegal dumping.,Waste,Medium,Waste Department
Urgent attention is required due to electric line fault.,Electricity,High,Electricity Department
Multiple complaints have been raised about overflowing dustbins.,Waste,Medium,Waste Department
Residents are facing overflowing dustbins in the area.,Waste,Medium,Waste Department
The locality has been affected by monkey nuisance for several days.,Animal Issues,Medium,Animal Issues Department
Citizens have repeatedly reported sewage smell.,Sewage,High,Sewage Department
There is a serious problem involving sewage smell.,Sewage,High,Sewage Department
The locality has been affected by construction without permit for several days.,Illegal Construction,Medium,Illegal Construction Department
Citizens have repeatedly reported voltage fluctuation.,Electricity,High,Electricity Department
Urgent attention is required due to encroaching structure.,Illegal Construction,Medium,Illegal Construction Department
There is a serious problem involving pipeline leakage.,Water,High,Water Department
Urgent attention is required due to animal shelter issue.,Animal Issues,Medium,Animal Issues Department
Residents are facing lack of police patrol in the area.,Public Safety,Medium,Public Safety Department
The locality has been affected by illegal payment demand for several days.,Corruption,Medium,Corruption Department
Authorities have not resolved the fertilizer shortage yet.,Agriculture,Medium,Agriculture Department
Multiple complaints have been raised about footpath encroachment.,Encroachment,Medium,Encroachment Department
Residents are facing broken footpath in the area.,Infrastructure,Medium,Infrastructure Department
There is a serious problem involving park maintenance issue.,Parks,Low,Parks Department
Authorities have not resolved the fertilizer shortage yet.,Agriculture,Medium,Agriculture Department
The locality has been affected by harassment of women for several days.,Women & Child Safety,High,Women & Child Safety Department
Please take immediate action regarding server downtime.,Digital Services,Low,Digital Services Department
Residents are facing internet disruption in the area.,Telecom,Medium,Telecom Department
The situation is worsening because of unsafe pedestrian crossing.,Public Safety,Medium,Public Safety Department
Citizens have repeatedly reported school infrastructure issue.,Education,Medium,Education Department
There is a serious problem involving robbery case.,Crime,High,Crime Department
The locality has been affected by lack of doctors for several days.,Healthcare,High,Healthcare Department
People are suffering because of child safety concern.,Women & Child Safety,High,Women & Child Safety Department
Citizens have repeatedly reported official misconduct.,Corruption,Medium,Corruption Department
Please take immediate action regarding missing lights.,Streetlight,Medium,Streetlight Department
Please take immediate action regarding animal shelter issue.,Animal Issues,Medium,Animal Issues Department
Citizens have repeatedly reported stray dog attack.,Animal Issues,Medium,Animal Issues Department
Please take immediate action regarding sewer blockage.,Sewage,High,Sewage Department
The locality has been affected by waste collection delay for several days.,Waste,Medium,Waste Department
Please take immediate action regarding pipeline leakage.,Water,High,Water Department
Citizens have repeatedly reported ambulance delay.,Healthcare,High,Healthcare Department
People are suffering because of water shortage in toilet.,Public Toilets,Medium,Public Toilets Department
There is a serious problem involving collapsed pavement.,Infrastructure,Medium,Infrastructure Department
People are suffering because of overgrown vegetation.,Parks,Low,Parks Department
Citizens have repeatedly reported unsafe area.,Public Safety,Medium,Public Safety Department
Please take immediate action regarding assault report.,Crime,High,Crime Department
Urgent attention is required due to public grievance unresolved.,Government Services,Medium,Government Services Department
Multiple complaints have been raised about stagnant water.,Drainage,Medium,Drainage Department
Multiple complaints have been raised about transformer failure.,Electricity,High,Electricity Department
The locality has been affected by waterlogging for several days.,Flooding,High,Flooding Department
Urgent attention is required due to open sewage.,Sewage,High,Sewage Department
Please take immediate action regarding housing maintenance issue.,Housing,Medium,Housing Department
Urgent attention is required due to illegal sand mining.,Environment,Medium,Environment Department
There is a serious problem involving transformer failure.,Electricity,High,Electricity Department
Please take immediate action regarding kidnapping complaint.,Crime,High,Crime Department
The situation is worsening because of public harassment.,Public Safety,Medium,Public Safety Department
There is a serious problem involving industrial smoke.,Pollution,Medium,Pollution Department
The situation is worsening because of fertilizer shortage.,Agriculture,Medium,Agriculture Department
Please take immediate action regarding bus delay.,Transport,Medium,Transport Department
Please take immediate action regarding low water pressure.,Water,High,Water Department
Multiple complaints have been raised about office inefficiency.,Government Services,Medium,Government Services Department
Please take immediate action regarding broken playground equipment.,Parks,Low,Parks Department
Urgent attention is required due to illegal building extension.,Illegal Construction,Medium,Illegal Construction Department
The locality has been affected by unsafe apartment for several days.,Housing,Medium,Housing Department
People are suffering because of server downtime.,Digital Services,Low,Digital Services Department
Multiple complaints have been raised about fertilizer shortage.,Agriculture,Medium,Agriculture Department
Authorities have not resolved the cattle on roads yet.,Animal Issues,Medium,Animal Issues Department
The situation is worsening because of sewer blockage.,Sewage,High,Sewage Department
The situation is worsening because of lack of doctors.,Healthcare,High,Healthcare Department
People are suffering because of road blockage.,Transport,Medium,Transport Department
People are suffering because of tree cutting.,Environment,Medium,Environment Department
There is a serious problem involving poor sanitation in hospital.,Healthcare,High,Healthcare Department
There is a serious problem involving crop damage.,Agriculture,Medium,Agriculture Department
The situation is worsening because of blocked driveway.,Parking,Low,Parking Department
Authorities have not resolved the fertilizer shortage yet.,Agriculture,Medium,Agriculture Department
There is a serious problem involving road encroachment.,Encroachment,Medium,Encroachment Department
Authorities have not resolved the fire safety violation yet.,Fire Hazard,High,Fire Hazard Department
Citizens have repeatedly reported open sewage.,Sewage,High,Sewage Department
The situation is worsening because of office inefficiency.,Government Services,Medium,Government Services Department
Residents are facing poor mobile signal in the area.,Telecom,Medium,Telecom Department
Authorities have not resolved the streetlight not working yet.,Streetlight,Medium,Streetlight Department
Please take immediate action regarding broken playground equipment.,Parks,Low,Parks Department
The locality has been affected by footpath encroachment for several days.,Encroachment,Medium,Encroachment Department
People are suffering because of medicine shortage.,Healthcare,High,Healthcare Department
Please take immediate action regarding footpath encroachment.,Encroachment,Medium,Encroachment Department
Residents are facing abandoned building risk in the area.,Public Safety,Medium,Public Safety Department
The situation is worsening because of internet disruption.,Telecom,Medium,Telecom Department
Urgent attention is required due to stray dog attack.,Animal Issues,Medium,Animal Issues Department
The locality has been affected by unsafe pedestrian crossing for several days.,Public Safety,Medium,Public Safety Department
The situation is worsening because of crop damage.,Agriculture,Medium,Agriculture Department
Please take immediate action regarding illegal building extension.,Illegal Construction,Medium,Illegal Construction Department
People are suffering because of online service failure.,Digital Services,Low,Digital Services Department
There is a serious problem involving digital payment issue.,Digital Services,Low,Digital Services Department
Residents are facing telecom service issue in the area.,Telecom,Medium,Telecom Department
The situation is worsening because of overgrown vegetation.,Parks,Low,Parks Department
Citizens have repeatedly reported internet disruption.,Telecom,Medium,Telecom Department
Multiple complaints have been raised about ecosystem damage.,Environment,Medium,Environment Department
The situation is worsening because of unclean park.,Parks,Low,Parks Department
The locality has been affected by sewage overflow for several days.,Sewage,High,Sewage Department
People are suffering because of damaged road.,Infrastructure,Medium,Infrastructure Department
Multiple complaints have been raised about illegal parking.,Parking,Low,Parking Department
The situation is worsening because of official misconduct.,Corruption,Medium,Corruption Department
Urgent attention is required due to ecosystem damage.,Environment,Medium,Environment Department
The locality has been affected by roof leakage for several days.,Housing,Medium,Housing Department
People are suffering because of clogged storm drain.,Drainage,Medium,Drainage Department
The situation is worsening because of sewage smell.,Sewage,High,Sewage Department
Please take immediate action regarding park maintenance issue.,Parks,Low,Parks Department
There is a serious problem involving stagnant water.,Drainage,Medium,Drainage Department
The situation is worsening because of unsafe construction.,Illegal Construction,Medium,Illegal Construction Department
There is a serious problem involving stray dog attack.,Animal Issues,Medium,Animal Issues Department
The locality has been affected by overflowing dustbins for several days.,Waste,Medium,Waste Department
Authorities have not resolved the poor sanitation in hospital yet.,Healthcare,High,Healthcare Department
There is a serious problem involving monkey nuisance.,Animal Issues,Medium,Animal Issues Department
The locality has been affected by cybercrime activity for several days.,Crime,High,Crime Department
There is a serious problem involving dry public taps.,Water,High,Water Department
Please take immediate action regarding lack of toilets in school.,Education,Medium,Education Department
There is a serious problem involving loudspeaker disturbance.,Noise Pollution,Medium,Noise Pollution Department
The situation is worsening because of missing extinguishers.,Fire Hazard,High,Fire Hazard Department
The situation is worsening because of electrical fire risk.,Fire Hazard,High,Fire Hazard Department
Multiple complaints have been raised about unsafe bridge.,Infrastructure,Medium,Infrastructure Department
The situation is worsening because of missing child report.,Women & Child Safety,High,Women & Child Safety Department
The locality has been affected by blocked fire exit for several days.,Fire Hazard,High,Fire Hazard Department
Multiple complaints have been raised about flood risk.,Flooding,High,Flooding Department
Residents are facing assault report in the area.,Crime,High,Crime Department
People are suffering because of blocked driveway.,Parking,Low,Parking Department
Residents are facing public land encroachment in the area.,Encroachment,Medium,Encroachment Department
Citizens have repeatedly reported lack of police patrol.,Public Safety,Medium,Public Safety Department
Urgent attention is required due to streetlight not working.,Streetlight,Medium,Streetlight Department
People are suffering because of document processing delay.,Government Services,Medium,Government Services Department
Authorities have not resolved the broadband failure yet.,Telecom,Medium,Telecom Department
People are suffering because of farm water problem.,Agriculture,Medium,Agriculture Department
Multiple complaints have been raised about street vendor blockage.,Encroachment,Medium,Encroachment Department
Please take immediate action regarding power outage.,Electricity,High,Electricity Department
The situation is worsening because of poor public transport.,Transport,Medium,Transport Department
People are suffering because of poor public transport.,Transport,Medium,Transport Department
The locality has been affected by unsafe classrooms for several days.,Education,Medium,Education Department
Authorities have not resolved the eve teasing incident yet.,Women & Child Safety,High,Women & Child Safety Department
Authorities have not resolved the animal shelter issue yet.,Animal Issues,Medium,Animal Issues Department
People are suffering because of robbery case.,Crime,High,Crime Department
Urgent attention is required due to water shortage in toilet.,Public Toilets,Medium,Public Toilets Department
The locality has been affected by bus delay for several days.,Transport,Medium,Transport Department
Multiple complaints have been raised about public land encroachment.,Encroachment,Medium,Encroachment Department
Authorities have not resolved the wastewater leakage yet.,Sewage,High,Sewage Department
Citizens have repeatedly reported toilet maintenance issue.,Public Toilets,Medium,Public Toilets Department
Please take immediate action regarding overgrown vegetation.,Parks,Low,Parks Department
The locality has been affected by flooded street for several days.,Flooding,High,Flooding Department
People are suffering because of school infrastructure issue.,Education,Medium,Education Department
People are suffering because of road blockage.,Transport,Medium,Transport Department
The locality has been affected by fertilizer shortage for several days.,Agriculture,Medium,Agriculture Department
